,participant_id,Condition,Classifier,Parameters Used,Confusion_Matrix,CV_Train_Bal_Accuracy,CV_Test_Bal_Accuracy,Test_Bal_Accuracy,CV_Train_Accuracy,CV_Test_Accuracy,Test_Accuracy,CV_Train_Precision,CV_Test_Precision,Test_Precision,CV_Train_Matthews_coef,CV_Test_Matthews_coef,Matthews_Coef,CV_Train_Recall,CV_Test_Recall,Test_recall,CV_Train_Fbeta_0.5,Fbeta_0.5,CV_Train_Fbeta_1.5,CV_Test_Fbeta_1.5,Fbeta_1.5,CV_Train_F1,CV_Test_F1,F1_score,CV_Train_ROC_AUC,CV_Test_ROC_AUC,Test_ROC_AUC,Mean Fit Time,Mean Score Time
89,sub-004,Green/Upright/Faces,RF,"{'RF__n_estimators': 40, 'RF__min_samples_split': 10, 'RF__min_samples_leaf': 5, 'RF__max_samples': 0.6, 'RF__max_leaf_nodes': 168, 'RF__max_depth': 65, 'RF__class_weight': 'balanced'}","[[29  0]
 [ 6  0]]",55.5,50.0,50.0,85.4,83.6,82.9,100.0,0.0,0.0,0.293,0.0,0.0,11.0,0.0,0.0,0.354,0.0,0.149,0.0,0.0,0.192,0.0,0.0,0.555,0.5,0.5,3.123,0.318
90,sub-004,Green/Upright/Silhouettes,SVM,"{'SVM__class_weight': 'balanced', 'SVM__C': 0.0009236708571873865}","[[18 12]
 [ 1  4]]",100.0,68.5,70.0,100.0,64.9,62.9,100.0,28.4,25.0,1.0,0.284,0.281,100.0,73.3,80.0,1.0,0.29,1.0,0.472,0.477,1.0,0.394,0.381,1.0,0.685,0.7,0.412,0.033
91,sub-004,Green/Upright/Silhouettes,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[27  3]
 [ 3  2]]",82.7,54.5,65.0,91.4,82.4,82.9,75.2,30.0,40.0,0.673,0.136,0.3,69.8,13.3,40.0,0.739,0.4,0.711,0.16,0.4,0.721,0.183,0.4,0.827,0.545,0.65,8.462,0.032
92,sub-004,Green/Upright/Silhouettes,RF,"{'RF__n_estimators': 2879, 'RF__min_samples_split': 7, 'RF__min_samples_leaf': 3, 'RF__max_samples': 0.7000000000000001, 'RF__max_leaf_nodes': 54, 'RF__max_depth': 69, 'RF__class_weight': 'balanced_subsample'}","[[30  0]
 [ 5  0]]",100.0,50.0,50.0,100.0,84.0,85.7,100.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,15.53,1.158
93,sub-004,Neutral/Inverted/Faces,SVM,"{'SVM__class_weight': 'balanced', 'SVM__C': 0.0005298316906283707}","[[21  8]
 [ 1  5]]",100.0,80.8,77.9,100.0,73.3,74.3,100.0,42.1,38.5,1.0,0.491,0.435,100.0,91.7,83.3,1.0,0.431,1.0,0.651,0.613,1.0,0.561,0.526,1.0,0.808,0.779,0.435,0.028
94,sub-004,Neutral/Inverted/Faces,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[27  2]
 [ 3  3]]",90.7,71.2,71.6,96.2,89.9,85.7,93.6,66.7,60.0,0.857,0.499,0.464,82.6,43.3,50.0,0.911,0.577,0.856,0.469,0.527,0.877,0.5,0.545,0.907,0.712,0.716,8.562,0.039
95,sub-004,Neutral/Inverted/Faces,RF,"{'RF__n_estimators': 2063, 'RF__min_samples_split': 2, 'RF__min_samples_leaf': 2, 'RF__max_samples': 0.30000000000000004, 'RF__max_leaf_nodes': 31, 'RF__max_depth': 89, 'RF__class_weight': 'balanced'}","[[29  0]
 [ 6  0]]",50.7,50.0,50.0,83.7,83.5,82.9,30.0,0.0,0.0,0.06,0.0,0.0,1.4,0.0,0.0,0.06,0.0,0.02,0.0,0.0,0.027,0.0,0.0,0.507,0.5,0.5,9.191,0.801
96,sub-004,Neutral/Inverted/Silhouettes,SVM,"{'SVM__class_weight': 'balanced', 'SVM__C': 0.7278953843983154}","[[21  9]
 [ 1  5]]",100.0,80.8,76.7,100.0,70.1,72.2,100.0,36.4,35.7,1.0,0.465,0.408,100.0,96.7,83.3,1.0,0.403,1.0,0.631,0.591,1.0,0.523,0.5,1.0,0.808,0.767,0.505,0.032
97,sub-004,Neutral/Inverted/Silhouettes,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[27  3]
 [ 3  3]]",87.7,62.9,70.0,94.7,84.8,83.3,90.0,50.0,50.0,0.802,0.316,0.4,77.3,30.0,50.0,0.869,0.5,0.806,0.33,0.5,0.829,0.357,0.5,0.877,0.629,0.7,8.473,0.035
98,sub-004,Neutral/Inverted/Silhouettes,RF,"{'RF__n_estimators': 2667, 'RF__min_samples_split': 6, 'RF__min_samples_leaf': 4, 'RF__max_samples': 0.30000000000000004, 'RF__max_leaf_nodes': 185, 'RF__max_depth': 74, 'RF__class_weight': None}","[[30  0]
 [ 6  0]]",50.0,50.0,50.0,83.3,83.4,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,12.383,1.034
