,participant_id,Condition,Classifier,Confusion_Matrix,CV_Train_Bal_Accuracy,CV_Test_Bal_Accuracy,Test_Bal_Accuracy,CV_Train_Accuracy,CV_Test_Accuracy,Test_Accuracy,CV_Train_Precision,CV_Test_Precision,Test_Precision,CV_Train_Matthews_coef,CV_Test_Matthews_coef,Matthews_Coef,CV_Train_Recall,CV_Test_Recall,Test_recall,CV_Train_Fbeta_0.5,Fbeta_0.5,CV_Train_Fbeta_1.5,CV_Test_Fbeta_1.5,Fbeta_1.5,CV_Train_F1,CV_Test_F1,F1_score,CV_Train_ROC_AUC,CV_Test_ROC_AUC,Test_ROC_AUC,Mean Fit Time,Mean Score Time
581,sub-022,Neutral/Inverted/Faces,RF,"[[29  0]
 [ 6  0]]",100.0,50.0,50.0,100.0,85.7,82.9,100.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.548,0.067
582,sub-022,Neutral/Inverted/Silhouettes,SVM,"[[18 12]
 [ 0  6]]",100.0,79.2,80.0,100.0,66.7,66.7,100.0,37.5,33.3,1.0,0.468,0.447,100.0,100.0,100.0,1.0,0.385,1.0,0.661,0.619,1.0,0.545,0.5,1.0,0.792,0.8,0.589,0.029
583,sub-022,Neutral/Inverted/Silhouettes,LDA,"[[29  1]
 [ 2  4]]",94.3,75.0,81.7,96.9,80.0,91.7,90.5,50.0,80.0,0.886,0.452,0.683,90.5,66.7,66.7,0.905,0.769,0.905,0.605,0.703,0.905,0.571,0.727,0.943,0.75,0.817,1.005,0.051
584,sub-022,Neutral/Inverted/Silhouettes,RF,"[[30  0]
 [ 6  0]]",100.0,50.0,50.0,100.0,80.0,83.3,100.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.511,0.063
585,sub-022,Green/Inverted/Faces,SVM,"[[21  9]
 [ 0  6]]",100.0,75.0,85.0,100.0,60.0,75.0,100.0,33.3,40.0,1.0,0.408,0.529,100.0,100.0,100.0,1.0,0.455,1.0,0.619,0.684,1.0,0.5,0.571,1.0,0.75,0.85,0.697,0.039
586,sub-022,Green/Inverted/Faces,LDA,"[[29  1]
 [ 3  3]]",94.3,83.3,73.3,96.9,93.3,88.9,90.5,100.0,75.0,0.886,0.784,0.553,90.5,66.7,50.0,0.905,0.682,0.905,0.743,0.557,0.905,0.8,0.6,0.943,0.833,0.733,0.917,0.034
587,sub-022,Green/Inverted/Faces,RF,"[[30  0]
 [ 4  2]]",100.0,66.7,66.7,100.0,86.7,88.9,100.0,100.0,100.0,1.0,0.535,0.542,100.0,33.3,33.3,1.0,0.714,1.0,0.419,0.419,1.0,0.5,0.5,1.0,0.667,0.667,0.492,0.065
588,sub-022,Green/Inverted/Silhouettes,SVM,"[[17 13]
 [ 0  6]]",100.0,58.3,78.3,100.0,53.3,63.9,100.0,25.0,31.6,1.0,0.134,0.423,100.0,66.7,100.0,1.0,0.366,1.0,0.441,0.6,1.0,0.364,0.48,1.0,0.583,0.783,0.878,0.025
589,sub-022,Green/Inverted/Silhouettes,LDA,"[[29  1]
 [ 6  0]]",90.0,75.0,48.3,96.1,80.0,80.6,94.4,50.0,0.0,0.853,0.452,-0.076,81.0,66.7,0.0,0.914,0.0,0.847,0.605,0.0,0.872,0.571,0.0,0.9,0.75,0.483,1.417,0.038
590,sub-022,Green/Inverted/Silhouettes,RF,"[[30  0]
 [ 6  0]]",100.0,50.0,50.0,100.0,80.0,83.3,100.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.563,0.067
591,sub-022,Target-Nontarget,SVM,"[[213  25]
 [ 13  35]]",100.0,82.2,81.2,100.0,87.0,86.7,100.0,60.0,58.3,1.0,0.592,0.573,100.0,75.0,72.9,1.0,0.608,1.0,0.696,0.677,1.0,0.667,0.648,1.0,0.822,0.812,58.572,0.042
592,sub-022,Target-Nontarget,LDA,"[[208  30]
 [ 17  31]]",100.0,78.3,76.0,100.0,87.0,83.6,100.0,61.9,50.8,1.0,0.555,0.474,100.0,65.0,64.6,1.0,0.531,1.0,0.64,0.596,1.0,0.634,0.569,1.0,0.783,0.76,8.553,0.042
593,sub-022,Target-Nontarget,RF,"[[233   5]
 [ 41   7]]",100.0,52.0,56.2,100.0,82.6,83.9,100.0,50.0,58.3,1.0,0.114,0.233,100.0,5.0,14.6,1.0,0.365,1.0,0.069,0.19,1.0,0.091,0.233,1.0,0.52,0.562,4.783,0.248
594,sub-023,Neutral/Upright/Faces,SVM,"[[21  9]
 [ 1  5]]",100.0,95.8,76.7,100.0,93.3,72.2,100.0,75.0,35.7,1.0,0.829,0.408,100.0,100.0,83.3,1.0,0.403,1.0,0.907,0.591,1.0,0.857,0.5,1.0,0.958,0.767,0.399,0.038
595,sub-023,Neutral/Upright/Faces,LDA,"[[30  0]
 [ 2  4]]",100.0,83.3,83.3,100.0,93.3,94.4,100.0,100.0,100.0,1.0,0.784,0.791,100.0,66.7,66.7,1.0,0.909,1.0,0.743,0.743,1.0,0.8,0.8,1.0,0.833,0.833,1.194,0.024
596,sub-023,Neutral/Upright/Faces,RF,"[[30  0]
 [ 4  2]]",100.0,83.3,66.7,100.0,93.3,88.9,100.0,100.0,100.0,1.0,0.784,0.542,100.0,66.7,33.3,1.0,0.714,1.0,0.743,0.419,1.0,0.8,0.5,1.0,0.833,0.667,0.521,0.065
597,sub-023,Neutral/Upright/Silhouettes,SVM,"[[19 11]
 [ 0  6]]",100.0,87.5,81.7,100.0,80.0,69.4,100.0,50.0,35.3,1.0,0.612,0.473,100.0,100.0,100.0,1.0,0.405,1.0,0.765,0.639,1.0,0.667,0.522,1.0,0.875,0.817,0.599,0.024
598,sub-023,Neutral/Upright/Silhouettes,LDA,"[[30  0]
 [ 2  4]]",91.5,83.3,83.3,95.3,93.3,94.4,85.7,100.0,100.0,0.829,0.784,0.791,85.7,66.7,66.7,0.857,0.909,0.857,0.743,0.743,0.857,0.8,0.8,0.915,0.833,0.833,1.434,0.021
599,sub-023,Neutral/Upright/Silhouettes,RF,"[[30  0]
 [ 6  0]]",100.0,50.0,50.0,100.0,80.0,83.3,100.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.508,0.068
600,sub-023,Green/Upright/Faces,SVM,"[[22  8]
 [ 0  6]]",100.0,79.2,86.7,100.0,66.7,77.8,100.0,37.5,42.9,1.0,0.468,0.561,100.0,100.0,100.0,1.0,0.484,1.0,0.661,0.709,1.0,0.545,0.6,1.0,0.792,0.867,0.434,0.025
601,sub-023,Green/Upright/Faces,LDA,"[[30  0]
 [ 3  3]]",94.8,83.3,75.0,97.7,93.3,91.7,95.0,100.0,100.0,0.913,0.784,0.674,90.5,66.7,50.0,0.941,0.833,0.918,0.743,0.591,0.927,0.8,0.667,0.948,0.833,0.75,0.832,0.039
