,participant_id,Condition,Classifier,Parameters Used,Confusion_Matrix,CV_Train_Bal_Accuracy,CV_Test_Bal_Accuracy,Test_Bal_Accuracy,CV_Train_Accuracy,CV_Test_Accuracy,Test_Accuracy,CV_Train_Precision,CV_Test_Precision,Test_Precision,CV_Train_Matthews_coef,CV_Test_Matthews_coef,Matthews_Coef,CV_Train_Recall,CV_Test_Recall,Test_recall,CV_Train_Fbeta_0.5,Fbeta_0.5,CV_Train_Fbeta_1.5,CV_Test_Fbeta_1.5,Fbeta_1.5,CV_Train_F1,CV_Test_F1,F1_score,CV_Train_ROC_AUC,CV_Test_ROC_AUC,Test_ROC_AUC,Mean Fit Time,Mean Score Time
0,sub-010,Neutral/Upright/Faces,SVM,"{'SVM__class_weight': 'balanced', 'SVM__C': 20.43359717856944}","[[22  8]
 [ 0  6]]",99.8,75.8,86.7,99.6,65.3,77.8,97.8,32.6,42.9,0.987,0.394,0.561,100.0,91.7,100.0,0.983,0.484,0.993,0.58,0.709,0.989,0.476,0.6,0.998,0.758,0.867,0.224,0.03
0,sub-010,Neutral/Upright/Faces,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[30  0]
 [ 3  3]]",91.7,72.1,75.0,96.5,88.9,91.7,93.7,85.0,100.0,0.87,0.568,0.674,84.7,46.7,50.0,0.917,0.833,0.872,0.527,0.591,0.889,0.58,0.667,0.917,0.721,0.75,8.447,0.035
0,sub-010,Neutral/Upright/Faces,RF,"{'RF__n_estimators': 2267, 'RF__min_samples_split': 4, 'RF__min_samples_leaf': 2, 'RF__max_samples': 0.8, 'RF__max_leaf_nodes': 124, 'RF__max_depth': 16, 'RF__class_weight': None}","[[30  0]
 [ 6  0]]",82.6,50.0,50.0,94.2,83.4,83.3,100.0,0.0,0.0,0.78,0.0,0.0,65.2,0.0,0.0,0.902,0.0,0.729,0.0,0.0,0.788,0.0,0.0,0.826,0.5,0.5,6.925,0.661
0,sub-010,Neutral/Upright/Silhouettes,SVM,"{'SVM__class_weight': None, 'SVM__C': 0.1373823795883264}","[[22  8]
 [ 0  6]]",100.0,79.2,86.7,100.0,69.5,77.8,100.0,37.5,42.9,1.0,0.45,0.561,100.0,93.3,100.0,1.0,0.484,1.0,0.617,0.709,1.0,0.517,0.6,1.0,0.792,0.867,0.464,0.034
0,sub-010,Neutral/Upright/Silhouettes,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[29  1]
 [ 0  6]]",89.0,63.3,98.3,94.7,86.9,97.2,86.7,50.0,85.7,0.804,0.339,0.91,80.6,28.3,100.0,0.853,0.882,0.823,0.322,0.951,0.834,0.353,0.923,0.89,0.633,0.983,8.361,0.034
0,sub-010,Neutral/Upright/Silhouettes,RF,"{'RF__n_estimators': 1779, 'RF__min_samples_split': 9, 'RF__min_samples_leaf': 1, 'RF__max_samples': 0.30000000000000004, 'RF__max_leaf_nodes': 25, 'RF__max_depth': 27, 'RF__class_weight': 'balanced'}","[[30  0]
 [ 6  0]]",56.0,50.0,50.0,85.3,83.4,83.3,100.0,0.0,0.0,0.31,0.0,0.0,11.9,0.0,0.0,0.385,0.0,0.162,0.0,0.0,0.209,0.0,0.0,0.56,0.5,0.5,8.157,0.69
0,sub-010,Green/Upright/Faces,SVM,"{'SVM__class_weight': None, 'SVM__C': 0.0016102620275609393}","[[16 14]
 [ 0  6]]",100.0,82.9,76.7,100.0,71.4,61.1,100.0,38.5,30.0,1.0,0.502,0.4,100.0,100.0,100.0,1.0,0.349,1.0,0.658,0.582,1.0,0.548,0.462,1.0,0.829,0.767,0.4,0.031
0,sub-010,Green/Upright/Faces,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[30  0]
 [ 2  4]]",89.5,76.2,83.3,94.4,90.3,94.4,84.3,81.7,100.0,0.798,0.608,0.791,82.0,55.0,66.7,0.838,0.909,0.826,0.587,0.743,0.831,0.623,0.8,0.895,0.762,0.833,8.232,0.035
0,sub-010,Green/Upright/Faces,RF,"{'RF__n_estimators': 376, 'RF__min_samples_split': 5, 'RF__min_samples_leaf': 3, 'RF__max_samples': 0.9, 'RF__max_leaf_nodes': 177, 'RF__max_depth': 22, 'RF__class_weight': None}","[[30  0]
 [ 6  0]]",99.8,50.0,50.0,99.9,83.4,83.3,100.0,0.0,0.0,0.997,0.0,0.0,99.5,0.0,0.0,0.999,0.0,0.997,0.0,0.0,0.998,0.0,0.0,0.998,0.5,0.5,1.627,0.165
0,sub-010,Green/Upright/Silhouettes,SVM,"{'SVM__class_weight': None, 'SVM__C': 1000.0}","[[24  6]
 [ 2  4]]",100.0,78.3,73.3,100.0,69.4,77.8,100.0,38.2,40.0,1.0,0.451,0.388,100.0,91.7,66.7,1.0,0.435,1.0,0.619,0.553,1.0,0.524,0.5,1.0,0.783,0.733,0.458,0.03
